chid,chnm,bound_provenance,n_biofam_tested,n_biofam_active,n_biofam_separated,frac_tested_active,frac_tested_separated,family_loss
34816,Monocrotophos,default,38,7,7,0.18421052631578946,0.18421052631578946,0
21959,"2,4,6-Tribromophenol",estimated,27,16,5,0.5925925925925926,0.18518518518518517,11
32558,Kresoxim-methyl,estimated,18,9,6,0.5,0.3333333333333333,3
32548,"4-(4-Chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",estimated,38,29,9,0.7631578947368421,0.23684210526315788,20
47377,AVE6324,estimated,39,26,14,0.6666666666666666,0.358974358974359,12
20121,Sodium azide,default,37,22,22,0.5945945945945946,0.5945945945945946,0
47103,Octadecyl sulfate sodium salt,estimated,20,11,4,0.55,0.2,7
40711,Ethyl 2-methylbenzoate,estimated,15,5,0,0.3333333333333333,0.0,5
20604,4-Vinyl-1-cyclohexene diepoxide,default,37,6,6,0.16216216216216217,0.16216216216216217,0
25816,Oxalic acid,default,16,2,2,0.125,0.125,0
21086,Oxamyl,default,38,12,12,0.3157894736842105,0.3157894736842105,0
25363,Glycolic acid,default,15,2,2,0.13333333333333333,0.13333333333333333,0
32577,Tefluthrin,estimated,39,14,6,0.358974358974359,0.15384615384615385,8
29124,"1,2,4,5-Tetramethylbenzene",default,15,3,3,0.2,0.2,0
24436,Allura Red C.I.16035,estimated,37,14,2,0.3783783783783784,0.05405405405405406,12
36435,1-Octyl-2-pyrrolidone,default,16,4,4,0.25,0.25,0
26641,"1,3-Benzenedicarbonyl dichloride",default,18,6,6,0.3333333333333333,0.3333333333333333,0
24018,Dicamba,default,36,5,5,0.1388888888888889,0.1388888888888889,0
34871,Pyraflufen-ethyl,default,37,12,12,0.32432432432432434,0.32432432432432434,0
27500,2-Propoxyethanol,default,15,1,1,0.06666666666666667,0.06666666666666667,0
37565,Mepronil,estimated,16,8,3,0.5,0.1875,5
32550,"Fenpyroximate (Z,E)",estimated,39,36,22,0.9230769230769231,0.5641025641025641,14
41289,Myristyltrimethylammonium chloride,estimated,20,15,5,0.75,0.25,10
22448,Metolachlor,default,39,18,18,0.46153846153846156,0.46153846153846156,0
34545,Dimethomorph,estimated,38,16,10,0.42105263157894735,0.2631578947368421,6
20426,Dichloran,estimated,37,29,7,0.7837837837837838,0.1891891891891892,22
41491,3-Phenyl-2-propen-1-ol,default,16,4,4,0.25,0.25,0
26842,Methyl decanoate,default,16,5,5,0.3125,0.3125,0
23881,Clofentezine,default,38,16,16,0.42105263157894735,0.42105263157894735,0
34948,Tebufenozide,estimated,38,16,4,0.42105263157894735,0.10526315789473684,12
32356,Cycloate,default,39,8,8,0.20512820512820512,0.20512820512820512,0
42011,N-Dodecanoyl-N-methylglycine,estimated,24,14,8,0.5833333333333334,0.3333333333333333,6
20805,dl-Menthol,default,16,3,3,0.1875,0.1875,0
26548,"2,4,6-Tris(dimethylaminomethyl)phenol",default,15,2,2,0.13333333333333333,0.13333333333333333,0
24317,Terbacil,default,37,13,13,0.35135135135135137,0.35135135135135137,0
20499,"N,N-Dimethylacetamide",default,17,4,4,0.23529411764705882,0.23529411764705882,0
24721,D-Camphor,default,18,3,3,0.16666666666666666,0.16666666666666666,0
24284,1-Methoxy-2-propanol,default,36,4,4,0.1111111111111111,0.1111111111111111,0
41200,"N,N′-Disalicylidene-1,2-diaminopropane",default,26,12,12,0.46153846153846156,0.46153846153846156,0
47451,"C.I. Acid Yellow 11, sodium salt",estimated,19,7,4,0.3684210526315789,0.21052631578947367,3
22607,Anastrozole,default,15,3,3,0.2,0.2,0
21386,"2,4,6-Trichlorophenol",default,37,11,11,0.2972972972972973,0.2972972972972973,0
21332,Bis(dimethylaminothiocarbonyl) disulfide,estimated,40,28,10,0.7,0.25,18
