format_class,n_active,n_separated_1x,pct_separated_1x,n_separated_3x,pct_separated_3x,n_separated_10x,pct_separated_10x
cell_based,262994,47088,17.904590979261883,20700,7.870901997764207,10279,3.908454185266584
cell_free_biochemical,23810,9819,41.23897522049559,5051,21.21377572448551,2474,10.390592188156237
