chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
903877,NOCAS_903877,EPAMED_Water_Set5-18,82,0,0,0,0,0
903878,NOCAS_903878,EPAMED_Water_Set5-19,82,0,0,0,0,0
903870,NOCAS_903870,EPAMED_Water_Set5-11,82,0,0,0,0,0
903869,NOCAS_903869,EPAMED_Water_Set5-10,82,0,0,0,0,0
872755,NOCAS_872755,EPAMED_Water_Set3-50,82,1,1,1,1,0
872756,NOCAS_872756,EPAMED_Water_Set3-51,82,1,1,1,1,0
872757,NOCAS_872757,EPAMED_Water_Set3-52,82,2,2,1,1,0
872711,NOCAS_872711,EPAMED_Water_Set3-6,82,1,1,1,1,0
872712,NOCAS_872712,EPAMED_Water_Set3-7,82,0,0,0,0,0
903860,NOCAS_903860,EPAMED_Water_Set5-1,82,0,0,0,0,0
872710,NOCAS_872710,EPAMED_Water_Set3-5,82,4,4,2,2,0
872754,NOCAS_872754,EPAMED_Water_Set3-49,82,1,1,1,1,0
26122,110-18-9,"N,N,N',N'-Tetramethylethylenediamine",429,1,1,1,1,0
57908,NOCAS_57908,MED_ChemMix_7EnvC,82,1,1,1,1,0
57909,NOCAS_57909,MED_IVEDCMix_4EQC,82,3,3,1,1,0
57916,NOCAS_57916,MED_ERAgonMix_4EQC,82,3,3,1,1,0
57910,NOCAS_57910,MED_IVEDCMix_4EnvC,82,4,4,2,2,0
57912,NOCAS_57912,MED_EnvEDCMix_9EnvC,82,2,2,1,1,0
57913,NOCAS_57913,MED_ChemSTMix_5EQC,82,2,2,1,1,0
57907,NOCAS_57907,MED_ChemMix_7EQC,82,3,3,1,1,0
57911,NOCAS_57911,MED_EnvEDCMix_9EQC,82,4,4,1,1,0
57915,NOCAS_57915,MED_ERAntagonMix_4EQC,82,5,5,2,2,0
903894,NOCAS_903894,EPAMED_Water_Set5-35,82,0,0,0,0,0
903895,NOCAS_903895,EPAMED_Water_Set5-36,82,0,0,0,0,0
903892,NOCAS_903892,EPAMED_Water_Set5-33,82,0,0,0,0,0
21635,78-84-2,2-Methylpropanal,431,11,11,3,3,0
22001,141-78-6,Ethyl acetate,509,4,4,4,4,0
903893,NOCAS_903893,EPAMED_Water_Set5-34,82,0,0,0,0,0
21982,123-86-4,Butyl acetate,430,3,3,2,2,0
21889,108-10-1,4-Methyl-2-pentanone,430,1,1,1,1,0
20569,106-88-7,"1,2-Epoxybutane",434,5,5,3,3,0
40117,109-94-4,Ethyl formate,82,3,3,1,1,0
903896,NOCAS_903896,EPAMED_Water_Set5-37,82,0,0,0,0,0
872721,NOCAS_872721,EPAMED_Water_Set3-16,82,2,2,1,1,0
24366,121-44-8,Triethylamine,431,2,2,2,2,0
21881,107-15-3,Ethylenediamine,423,5,5,4,4,0
21604,66-25-1,Hexanal,696,8,1,3,1,2
903883,NOCAS_903883,EPAMED_Water_Set5-24,82,0,0,0,0,0
903882,NOCAS_903882,EPAMED_Water_Set5-23,82,0,0,0,0,0
903881,NOCAS_903881,EPAMED_Water_Set5-22,82,0,0,0,0,0
