bound_provenance,n_chemicals_with_active,n_active,n_separated_1x,pct_separated_1x,n_separated_3x,pct_separated_3x,n_separated_10x,pct_separated_10x
estimated,2894,286804,56907,19.84177347596268,25751,8.978605598248281,12753,4.4465907030585345
default,5484,51826,51800,99.94983213059082,51785,99.9208891290086,50353,97.15779724462625
