bound_provenance,n_chemicals,nhit_min,nhit_max,nhit_median,nhit_p25,nhit_p75,n_nhit_0,n_nhit_1,n_nhit_2_to_4,n_nhit_5_to_9,n_nhit_10_to_19,n_nhit_20plus,ntested_median
estimated,2894,2,87,13.0,6.0,30.0,0,0,316,781,736,1061,70.0
default,7593,0,4,0.0,0.0,0.0,6203,783,607,0,0,0,70.0
