potency_metric,bound_provenance,n_active,n_finite_metric,pct_actives_with_finite_metric,n_separated_1x,pct_separated_of_actives,pct_separated_of_finite
AC50,estimated,286804,286804,100.0,56907,19.84177347596268,19.84177347596268
AC50,default,51826,51826,100.0,51800,99.94983213059082,99.94983213059082
ACC,estimated,286804,285817,99.6558625402714,72956,25.43758106581498,25.52542361021213
ACC,default,51826,50803,98.02608729209277,50783,97.98749662331649,99.96063224612719
AC20,estimated,286804,286793,99.99616462810839,111487,38.87219146176483,38.87368241205329
AC20,default,51826,51822,99.99228186624474,51809,99.96719793154016,99.97491412913435
BMD,estimated,286804,278626,97.14857533367736,105380,36.7428627215799,37.8213088512917
BMD,default,51826,49209,94.95041099062247,48456,93.49747231119515,98.46979211119917
